n,probability, r
25,0.5,1.47774
35,0.5,1.51971
45,0.5,1.51011
55,0.5,1.55683
65,0.5,1.55883
75,0.5,1.56083
85,0.5,1.58882
95,0.5,1.5884
105,0.5,1.6133
115,0.5,1.61479
125,0.5,1.61067
135,0.5,1.61945
145,0.5,1.61963
155,0.5,1.61625
165,0.5,1.63071
175,0.5,1.64428
185,0.5,1.65392
195,0.5,1.64771
205,0.5,1.66101
215,0.5,1.66117
225,0.5,1.66019
235,0.5,1.64343
245,0.5,1.68647
255,0.5,1.65404
265,0.5,1.67492
275,0.5,1.64897
285,0.5,1.67869
295,0.5,1.67823
305,0.5,1.64011
315,0.5,1.67291
325,0.5,1.66814
335,0.5,1.69361
345,0.5,1.69305
355,0.5,1.68488
365,0.5,1.69113
375,0.5,1.68447
385,0.5,1.689
395,0.5,1.69493
405,0.5,1.6815
415,0.5,1.6951
425,0.5,1.69405
435,0.5,1.69946
445,0.5,1.68975
455,0.5,1.70127
465,0.5,1.70544
475,0.5,1.71568
485,0.5,1.70276
495,0.5,1.7015
505,0.5,1.7026
515,0.5,1.73945
525,0.5,1.72511
535,0.5,1.72149
545,0.5,1.70879
555,0.5,1.72643
565,0.5,1.69062
575,0.5,1.70914
585,0.5,1.72237
595,0.5,1.71782
